name	count	yf	y	m	d	ra_deg	ra_h	ra_m	ra_s	de_deg	de_d	de_m	de_s	oc_ra	oc_de	oc_ra_eps	oc_de_eps	oc_ra_sigma	oc_de_sigma
134	u3        	5	2014.7669406218	2014	10	7.93332695	13.4305808	0	53	43.3394		4.9989244	4	59 	56.128		0.017	-0.01	0.015	0.027	0.034	0.061
135	u4        	5	2014.7669406218	2014	10	7.93332695	13.4301292	0	53	43.231		4.9847378	4	59 	5.056		0.016	0.027	0.033	0.039	0.075	0.088
136	u3        	5	2014.7887868258	2014	10	15.90719142	13.1346242	0	52	32.3098		4.87564		4	52 	32.304		0.036	0.131	0.008	0.009	0.018	0.021
137	u4        	5	2014.7887868258	2014	10	15.90719142	13.1355958	0	52	32.543		4.8776183	4	52 	39.426		-0.061	0.016	0.016	0.012	0.036	0.027
138	u1        	5	2014.8789535204	2014	11	17.81803494	12.075495	0	48	18.1188		4.4313389	4	25 	52.82		0.07	0.274	0.018	0.052	0.041	0.117
139	u4        	5	2014.8789535204	2014	11	17.81803494	12.0735442	0	48	17.6506		4.4267033	4	25 	36.132		0.047	0.046	0.003	0.007	0.006	0.015
140	u2        	5	2014.8816812279	2014	11	18.81364819	12.0501208	0	48	12.029		4.4300172	4	25 	48.062		0.175	0.044	0.03	0.01	0.066	0.023
141	u3        	5	2014.8816812279	2014	11	18.81364819	12.0528167	0	48	12.676		4.4302306	4	25 	48.83		0.064	-0.02	0.01	0.005	0.023	0.011
142	u4        	5	2014.8816812279	2014	11	18.81364819	12.0516542	0	48	12.397		4.4141989	4	24 	51.116		0.028	0.018	0.01	0.01	0.023	0.022
143	u3        	5	2014.9117363618	2014	11	29.78377207	11.8195333	0	47	16.688		4.3416478	4	20 	29.932		0.014	-0.006	0.017	0.017	0.037	0.038
144	u4        	5	2014.9117363618	2014	11	29.78377207	11.8185933	0	47	16.4624		4.3346272	4	20 	4.658		-0.098	0.146	0.022	0.015	0.05	0.034
145	u3        	5	2014.9827750118	2014	12	25.7128793	11.6287367	0	46	30.8968		4.2792144	4	16 	45.172		-0.047	0.069	0.011	0.013	0.026	0.03
146	u4        	5	2014.9827750118	2014	12	25.7128793	11.6269092	0	46	30.4582		4.2765978	4	16 	35.752		-0.023	0.004	0.013	0.006	0.03	0.014
147	u2        	5	2015.6440221329	2015	8	24.06807851	18.6759158	1	14	42.2198		7.1913233	7	11 	28.764		0.081	-0.074	0.084	0.039	0.187	0.087
148	u3        	5	2015.6440221329	2015	8	24.06807851	18.682205	1	14	43.7292		7.1918772	7	11 	30.758		0.065	-0.127	0.032	0.041	0.071	0.092
149	u3        	3	2015.6467501802	2015	8	25.06381576	18.6583611	1	14	38.00667	7.1870787	7	11 	13.48333	-0.015	-0.375	0.033	0.029	0.058	0.051
150	u4        	3	2015.6467501802	2015	8	25.06381576	18.6514111	1	14	36.33867	7.1830843	7	10 	59.10333	-0.043	-0.08	0.045	0.02	0.079	0.035
151	u1        	5	2015.649494026	2015	8	26.06531947	18.6356308	1	14	32.5514		7.1738722	7	10 	25.94		0.22	-0.115	0.036	0.059	0.08	0.132
152	u2        	5	2015.649494026	2015	8	26.06531947	18.6391592	1	14	33.3982		7.1664006	7	 9 	59.042		0.057	-0.064	0.058	0.036	0.13	0.081
